time,buy_yuan_per_kwh,sell_yuan_per_kwh,band
2919600,0.98555,0.1875,P
2923200,0.98555,0.1875,P
2926800,0.63457,0.1875,F
2930400,0.63457,0.1875,F
2934000,0.63457,0.1875,F
2937600,0.63457,0.1875,F
2941200,0.63457,0.1875,F
2944800,0.28359,0.1875,V
2948400,0.28359,0.1875,V
2952000,0.28359,0.1875,V
2955600,0.28359,0.1875,V
2959200,0.63457,0.1875,F
2962800,0.98555,0.1875,P
2966400,0.98555,0.1875,P
2970000,0.63457,0.1875,F
2973600,0.28359,0.1875,V
2977200,0.18331,0.1875,D
2980800,0.18331,0.1875,D
2984400,0.18331,0.1875,D
2988000,0.28359,0.1875,V
2991600,0.63457,0.1875,F
2995200,1.13597,0.1875,S
2998800,1.13597,0.1875,S
3002400,1.13597,0.1875,S
3006000,0.98555,0.1875,P
3009600,0.98555,0.1875,P
3013200,0.63457,0.1875,F
3016800,0.63457,0.1875,F
3020400,0.63457,0.1875,F
3024000,0.63457,0.1875,F
3027600,0.63457,0.1875,F
3031200,0.28359,0.1875,V
3034800,0.28359,0.1875,V
3038400,0.28359,0.1875,V
3042000,0.28359,0.1875,V
3045600,0.63457,0.1875,F
3049200,0.98555,0.1875,P
3052800,0.98555,0.1875,P
3056400,0.63457,0.1875,F
3060000,0.28359,0.1875,V
3063600,0.18331,0.1875,D
3067200,0.18331,0.1875,D
3070800,0.18331,0.1875,D
3074400,0.28359,0.1875,V
3078000,0.63457,0.1875,F
3081600,1.13597,0.1875,S
3085200,1.13597,0.1875,S
3088800,1.13597,0.1875,S
3092400,0.98555,0.1875,P
3096000,0.98555,0.1875,P
3099600,0.63457,0.1875,F
3103200,0.63457,0.1875,F
3106800,0.63457,0.1875,F
3110400,0.63457,0.1875,F
3114000,0.63457,0.1875,F
3117600,0.28359,0.1875,V
3121200,0.28359,0.1875,V
3124800,0.28359,0.1875,V
3128400,0.28359,0.1875,V
3132000,0.63457,0.1875,F
3135600,0.98555,0.1875,P
3139200,0.98555,0.1875,P
3142800,0.63457,0.1875,F
3146400,0.28359,0.1875,V
3150000,0.18331,0.1875,D
3153600,0.18331,0.1875,D
3157200,0.18331,0.1875,D
3160800,0.28359,0.1875,V
3164400,0.63457,0.1875,F
3168000,1.13597,0.1875,S
3171600,1.13597,0.1875,S
3175200,1.13597,0.1875,S
